name,rank
Yo-kai Watch Blasters: Red Cat Corps,70
Yo-kai Watch Blasters: White Dog Squad,70
Captain Toad: Treasure Tracker,79
Dillon's Dead-Heat Breakers,69
River City: Rival Showdown,73
Fire Emblem Warriors,69
Chicken Wiggle,73
Hey! Pikmin,69
Miitopia,67
Cursed Castilla EX,85
Kirby's Blowout Blast,69
Mighty Gunvolt Burst,70
Runbow Pocket,66
BYE-BYE BOXBOY!,83
Blaster Master Zero,70
Go! Go! Kokopolo 3D: Space Recipe for Disaster,84
Poochy & Yoshi's Woolly World,77
Shift DX,76
Geki Yaba Runner Deluxe,65
Super Mario Maker for Nintendo 3DS,73
Cartoon Network: Battle Crashers,21
Pirate Pop Plus,54
Azure Striker Gunvolt 2,76
Sonic Boom: Fire & Ice,62
River City: Tokyo Rumble,69
Adventure Labyrinth Story,55
The Legend of Kusakari,69
Metroid Prime: Federation Force,64
BoxBoxBoy!,80
Rhythm Heaven Megamix,83
Kirby: Planet Robobot,81
Sssnakes,48
Digger Dan DX,70
Hyrule Warriors Legends,70
Terraria,71
Radiohammer,63
Rodea the Sky Soldier,45
Toki Tori 3D,76
Gunslugs 2,72
Dragon Ball Z: Extreme Butoden,61
Gravity Falls: Legend of the Gnome Gemulets,46
Chibi-Robo! Zip Lash,59
3D Sonic the Hedgehog 2,87
Senran Kagura 2: Deep Crimson,58
Hatsune Miku: Project Mirai DX,80
LBX: Little Battlers eXperience,73
3D Gunstar Heroes,89
3D Streets of Rage II,89
The Binding of Isaac: Rebirth,78
Samurai Warriors Chronicles 3,63
3D Thunder Blade,74
Stretchmo,83
Attack on Titan: Humanity in Chains,46
Bloo Kid 2,64
Karous: The Beast of Re:Eden,46
Pazuru,73
3D Fantasy Zone II W,81
Pokemon Rumble World,58
BOXBOY!,80
Iron Combat: War in the Air,58
50 Pinch Barrage!!,72
Mario vs. Donkey Kong: Tipping Stars,70
Zombie Incident,72
IRONFALL Invasion,48
Titan Attacks!,63
Excave,43
3D Fantasy Zone,79
Ace Combat: Assault Horizon Legacy+,63
Gunman Clive 2,80
3D After Burner II,81
Space Lift Danger Panic!,67
Xeodrifter,73
Hazumi,71
Penguins of Madagascar,51
Sonic Boom: Shattered Crystal,47
Power Rangers Super Megaforce,43
Shantae and the Pirate's Curse,82
Pac-Man and the Ghostly Adventures 2,60
Tenkai Knights: Brave Battle,26
Super Smash Bros. for Nintendo 3DS,85
Theatrhythm Final Fantasy: Curtain Call,83
Cooking Mama 5: Bon Appetit!,60
Azure Striker Gunvolt,77
Mighty Gunvolt,72
Dedede's Drum Dash Deluxe,65
Kirby Fighters Deluxe,66
BlazBlue: Clonephantasma,42
Steel Empire,72
Siesta Fiesta,81
Strike Force Foxx,67
One Piece: Unlimited World Red,75
Bike Rider DX2: Galaxy,73
Shovel Knight,90
1001 Spikes,73
Turtle Tale,41
Putty Squad,54
Moon Chronicles: Episode 1,70
Kirby: Triple Deluxe,80
Bit Boy!! Arcade,53
Smash Cat Heroes,65
Rusty's Real Deal Baseball,74
Skater Cat,51
Yumi's Odd Odyssey,74
Yoshi's New Island,64
Cube Tactics,62
Kung Fu Rabbit,65
AeternoBlade,59
Chibi-Robo! Photo Finder,49
Cubit The Hardcore Platformer Robot,48
3D Galaxy Force II,77
3D Sonic the Hedgehog,81
3D Space Harrier,70
Senran Kagura Burst,62
Jett Rocket II: The Wrath of Taikai,62
Power Rangers Megaforce,30
Sonic: Lost World,59
Beyblade: Evolution,49
Skylanders Swap Force,68
Scribblenauts Unmasked: A DC Comics Adventure,68
Star Wars Pinball,68
Rage of the Gladiator,88
SteamWorld Dig,82
Bike Rider DX,71
Attack of the Friday Monsters! A Tokyo Tale,77
Crash City Mayhem,59
Kokuga,77
LEGO Legends of Chima: Laval's Journey,65
Bugs vs. Tanks!,50
Mighty Switch Force! 2,73
Donkey Kong Country Returns 3D,83
Groove Heaven,52
Mario and Donkey Kong: Minis on the Move,78
Witch & Hero,44
Super Little Acorns 3D Turbo,77
Dillon's Rolling Western: The Last Ranger,68
HarmoKnight,73
Nano Assault EX,74
Naruto Powerful Shippuden,71
Ikachan,71
Bloody Vampire,65
Gunman Clive,82
Fluidity: Spin Cycle,78
Johnny Impossible,48
escapeVektor,75
Crashmo,86
Disney Epic Mickey: The Power of Illusion,63
Rabbids Rumble,59
Scribblenauts Unlimited,73
Johnny Hotshot,40
Rayman Origins,71
2 Fast 4 Gnomz,65
Transformers Prime: The Game,72
Wreck-It Ralph,35
NightSky,75
Liberation Maiden,69
Skylanders Giants,59
Pokemon Dream Radar,54
Cave Story,93
Samurai G,36
Angry Birds Trilogy,62
Boulder Dash-XL 3D,70
Rising Board 3D,68
Fractured Soul,70
Finding Nemo: Escape to the Big Blue Special Edition,41
New Super Mario Bros. 2,78
Crazy Chicken: Pirates 3D,54
Touch Battle Tank 3D,44
One Piece: Unlimited Cruise SP 2,49
Heroes of Ruin,69
Johnny Kung Fu,44
Rhythm Thief & the Emperor's Treasure,76
Theatrhythm Final Fantasy,78
Marvel Pinball 3D,74
The Amazing Spider-Man,55
Order Up!!,72
Mad Dog McCree,27
Battleship,55
Bird Mania 3D,51
Ketzal's Corridors,76
Alien Chaos 3D,68
3D Classics: Kid Icarus,77
