name,rank
My Hero One's Justice,68
SoulCalibur VI,84
Warriors Orochi 4,72
Heavy Fire: Red Shadow,33
Fast Striker,59
The Missing: JJ Macfield and the Island of Memories,77
Call of Duty: Black Ops 4,85
My Memory of Us,65
Punch Line,69
Evasion,76
Mega Man 11,82
Fist of the North Star: Lost Paradise,72
Catastronauts,78
Timespinner,81
Dark Eclipse,68
Hover,56
SNK Heroines: Tag Team Frenzy,60
Destiny 2: Forsaken,82
Ninjin: Clash of Carrots,62
Planet Alpha,63
Shadows: Awakening,73
Naruto to Boruto: Shinobi Striker,61
Strange Brigade,73
Blade Strangers,75
Bow to Blood,80
Firewall Zero Hour,79
Battle Chef Brigade,82
Brawlout,61
Guacamelee! 2,84
Slime Rancher,69
Track Lab,64
Candleman: The Complete Journey,78
Electronauts,77
H1Z1: Battle Royale,66
Flipping Death,76
Dead Cells,88
Overcooked! 2,81
TETRA's Escape,64
Airheart: Tales of Broken Wings,64
Mothergunship,78
Tempest 4000,75
Far Cry 5: Lost on Mars,57
Sonic Mania Plus,87
Hungry Shark World,58
Earthfall,54
20XX,77
Animal Force,57
Runbow,74
Red Faction: Guerrilla Re-Mars-tered,70
Fighting EX Layer,73
Far Cry 3: Classic Edition,70
Call of Duty: WWII - United Front,67
Salary Man Escape VR,63
New Gundam Breaker,43
Super Bomberman R,67
Prey: Mooncrash,83
Unravel Two,77
BlazBlue: Cross Tag Battle,76
Far Cry 5: Hours of Darkness,55
Shaq Fu: A Legend Reborn,36
Riddled Corpses EX,72
Earth Atlantis,49
Illusion: A Tale of the Mind,63
Yoku's Island Express,83
Space Hulk: Deathwing,55
One Piece: Grand Cruise,35
I Hate Running Backwards,63
Shio,73
FOX n FORESTS,65
Little Witch Academia: Chamber of Time,58
Dragon's Crown Pro,80
Azure Reflections,73
Death Road to Canada,78
Raging Justice,61
Destiny 2: Warmind,63
Shantae: Half-Genie Hero - Ultimate Edition,85
Killing Floor: Incursion,68
Gal*Gun 2,56
Dusty Raging Fist,55
Rogue Aces,72
Operation Warcade,67
Time Carnage,54
Project Nimbus: Code Mirai,73
Call of Duty: WWII - The War Machine,73
Crisis on the Planet of the Apes VR,49
The Adventure Pals,72
Far Cry 5,81
Injustice 2: Legendary Edition,88
World of Warriors,61
Attack on Titan 2,75
Octahedron,80
Assault Gunners HD Edition,45
The American Dream,67
Q.U.B.E. 2,76
Beast Quest,33
Tesla vs Lovecraft,71
Bravo Team,45
Way of the Passive Fist,64
DJMax Respect,85
Scribblenauts Showdown,64
Immortal Redneck,73
RiftStar Raiders,69
Blasters of the Universe,76
de Blob 2,68
Sword Art Online: Fatal Bullet,64
Past Cure,37
Rad Rodgers,66
Apex Construct,72
Fe,70
"Slice, Dice & Rice",63
Dynasty Warriors 9,65
The Seven Deadly Sins: Knights of Britannia,55
Under Night In-Birth Exe:Late[st],78
Bleed 2,79
Dissidia: Final Fantasy NT,67
Call of Duty: WWII - The Resistance,71
Out of Ammo,48
Strikers Edge,68
Wulverblade,76
Dragon Ball FighterZ,87
Celeste,91
OK K.O.! Let's Play Heroes,69
StarDrone,59
Street Fighter V: Arcade Edition,87
Shooty Fruity,79
Gang Beasts,69
Ultimate Chicken Horse,80
LocoRoco 2 Remastered,79
A Hat in Time,79
Destiny 2: Curse of Osiris,57
Oh My Godheads,56
DOOM VFR,72
Sky Force Reloaded,74
Wuppo,70
SG/ZH: School Girl Zombie Hunter,59
Star Wars Battlefront II,68
LEGO Marvel Super Heroes 2,73
