name,rank
Xenon Valkyrie+,62
Tokyo Tattoo Girls,36
Son of Scoregasm,75
Drive Girls,39
A Rose in the Twilight,75
Xenoraid,64
Shantae: Half-Genie Hero,82
Air Race Speed,79
Exile's End,46
Superdimension Neptune VS Sega Hard Girls,72
Valkyrie Drive: Bhikkhuni,72
Hatsune Miku: Project Diva X,83
Laser Disco Defenders,80
Mobile Suit Gundam: Extreme VS-Force,57
One Piece: Burning Blood,62
Downwell,85
MegaTagmension Blanc + Neptune VS Zombies,61
Skullgirls: 2nd Encore,76
Senran Kagura: Estival Versus,71
SwapQuest,64
Oddworld: Abe's Oddysee - New 'n' Tasty,83
Baseball Riot,58
Volume,86
Red Game Without a Great Name,65
Earth Defense Force 2: Invaders From Planet Space,72
BigFest,59
Teslagrad,74
Dynasty Warriors 8 Empires,70
SUPERBEAT: XONiC,81
Dengeki Bunko: Fighting Climax,75
Super Meat Boy,85
Farming Simulator 16,53
Persona 4: Dancing All Night,76
Heroes of Loot,76
One Piece: Pirate Warriors 3,76
The Muppets: Movie Adventures,48
Back to Bed,60
Shutshimi,82
Actual Sunlight,75
The Swindle,74
Samurai Warriors Chronicles 3,70
J-Stars Victory Vs+,74
Hyperdimension Neptunia U: Action Unleashed,71
Shovel Knight,92
Sayonara UmiharaKawase +,76
Titan Souls,74
MonsterBag,66
Element4l,62
Toukiden: Kiwami,82
Soldner-X 2: Final Prototype,71
Hotline Miami 2: Wrong Number,66
Flame Over,69
La-Mulana EX,77
Scram Kitty DX,75
htoL#NiQ: The Firefly Diary,58
Minutes,63
AeternoBlade,50
"Jungle Rumble: Freedom, Happiness and Bananas",56
Kick & Fennick,65
Baboon!,73
Nihilumbra,73
Joe Danger 2: The Movie,81
Duke Nukem 3D: Megaton Edition,69
Woah Dave!,71
Resogun,85
Oddworld: Munch's Oddysee HD,72
Flyhunter Origins,58
Rock Boshers DX: Director's Cut,77
Boss!,56
Aqua Kitty: Milk Mine Defender DX,67
Hatsune Miku: Project Diva F 2nd,81
Rollers of the Realm,52
Senran Kagura: Bon Appetit!,61
The Hungry Horde,61
"Don't Die, Mr. Robot!",76
Tiny Troopers: Joint Ops,60
Samurai Warriors 4,76
Senran Kagura Shinovi Versus,67
Jet Car Stunts,64
Pix the Cat,74
Warriors Orochi 3 Ultimate,67
Futuridium EP Deluxe,65
Murasaki Baby,69
Run Like Hell!,56
Velocity 2X,90
Danganronpa 2: Goodbye Despair,81
CounterSpy,70
Crimsonland,64
Gravity Crash Ultra,75
Phantom Breaker: Battle Grounds,67
Metrico,68
The Swapper,86
Rogue Legacy,85
LEGO Ninjago: Nindroids,58
One Piece: Unlimited World Red,67
MouseCraft,68
Z-Run,36
Magical Beat,67
1001 Spikes,81
Hyperdimension Neptunia PP: Producing Perfection,54
PixelJunk Shooter Ultimate,87
Lemmings Touch,63
Sparkle 2,69
Borderlands 2,64
Starlight Inception,50
Dead Nation,68
Ethan: Meteor Hunter,54
Destiny of Spirits,66
Fez,91
Dynasty Warriors 8: Xtreme Legends Complete Edition,65
Luftrausers,83
Hatsune Miku: Project Diva f,81
Gunslugs,81
Toukiden: The Age of Demons,71
TxK,84
King Oddball,66
Dustforce,73
Surge Deluxe,77
Dragon Ball Z: Battle of Z,66
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,83
Terraria,85
Furmins,69
Stick it to the Man!,81
The Amazing Spider-Man,55
A-Men 2,58
OMG HD Zombies!,78
Atomic Ninjas,61
Die!Die!Die!,31
Killzone: Mercenary,78
KickBeat,67
Rayman Legends,87
Spelunky,88
The HD Adventures of Rotating Octopus Character,66
Floating Cloud God Saves the Pilgrims in HD!,77
Divekick,70
Open Me!,72
Dragon's Crown,77
Superfrog HD,55
Stealth Inc: A Clone in the Dark,78
Kung Fu Rabbit,72
Velocity Ultra,87
LEGO Legends of Chima: Laval's Journey,64
Hotline Miami,85
Jak and Daxter Collection,67
Disney Epic Mickey 2: The Power of Two,57
LIMBO,89
Men's Room Mayhem,67
rymdkapsel,75
Soul Sacrifice,77
Thomas Was Alone,78
Guilty Gear XX Accent Core Plus R,69
Draw Slasher,69
Guacamelee!,87
Dead or Alive 5 Plus,80
Switch Galaxy,79
Rocketbirds: Hardboiled Chicken,76
Alien Breed,64
Life of Pixel,69
Haunt the House: Terrortown,73
Earth Defense Force 2017 Portable,68
Chronovolt,44
Knytt Underground,79
Big Sky: Infinity,71
DJMax Technika Tune,81
Sine Mora,85
PlayStation All-Stars Battle Royale,75
Alien Breed (PS Mobile),68
Call of Duty: Black Ops Declassified,33
When Vikings Attack!,73
Street Fighter X Tekken,79
Orgarhythm,62
Dokuro,76
Fuel Tiracas,82
LittleBigPlanet PS Vita,88
Sound Shapes,84
Gravity Rush,83
PulzAR,77
Resistance: Burning Skies,60
Mortal Kombat,85
The Pinball Arcade,79
Supremacy MMA: Unrestricted,43
Reality Fighters,54
Unit 13,71
StarDrone Extreme,61
Dynasty Warriors Next,67
Touch My Katamari,69
Tales From Space: Mutant Blobs Attack,86
Little Deviants,57
Michael Jackson The Experience HD,57
Rayman Origins,88
Ultimate Marvel vs. Capcom 3,80
Super Stardust Delta,82
Escape Plan,71
BlazBlue: Continuum Shift Extend,83
