name,rank
Taiko no Tatsujin: Drum 'n' Fun!,83
Save me Mr Tako: Tasukete Tako-San,74
Gal Metal,68
My Hero One's Justice,70
Friday the 13th: Killer Puzzle,77
Just Dance 2019,74
Black Bird,73
Zarvot,74
Warriors Orochi 4,57
Joggernauts,75
The Missing: JJ Macfield and the Island of Memories,79
Mark of the Ninja: Remastered,89
Guacamelee! Super Turbo Championship Edition,86
Overcooked! 2: Surf 'n' Turf,83
Mega Man 11,80
Marble It Up!,76
Dragon Ball FighterZ,87
Wandersong,81
Ultimate Chicken Horse,80
Giana Sisters: Twisted Dreams - Owltimate Edition,75
The Escapists: Complete Edition,70
Hover,55
Sega Ages - Lightening Force: Quest for the Darkstar,80
Sega Ages: Sonic the Hedgehog,77
Velocity 2X,87
Senran Kagura Reflexions,39
Old School Musical,75
SNK Heroines: Tag Team Frenzy,61
Sigi: A Fart for Melusina,54
FullBlast,54
Broforce,74
Planet Alpha,76
The Messenger,86
Freedom Planet,82
The VideoKid,66
Azure Reflections,71
Blade Strangers,75
de Blob 2,72
Kero Blaster,77
Shio,58
Morphies Law,48
Bad North,71
Red's Kingdom,68
Unexplored: Unlocked Edition,64
Megaton Rainfall,63
Flipping Death,83
Dead Cells,90
Overcooked! 2,81
Slam Land,63
Flat Heroes,84
"Guns, Gore & Cannoli 2",76
Cycle 28,69
Road to Ballhalla,80
Salt and Sanctuary,82
Sleep Tight,63
Candle: The Power of the Flame,72
Semblance,74
Heroki,70
Sonic Mania Plus,91
Captain Toad: Treasure Tracker,82
Super Destronaut DX,60
Bomb Chicken,77
Galak-Z: Variant S,64
Hotel Transylvania 3: Monsters Overboard,55
20XX,77
Another World,75
Pocket Rumble,75
Ultra Space Battle Brawl,78
Miles & Kilo,75
Assault Gunners HD Edition,41
Runbow,79
SpiritSphere DX,78
Wolfenstein II: The New Colossus,79
Waking Violet,79
Figment,75
Dream Alone,45
LIMBO,83
INSIDE,91
de Blob,72
Lost in Harmony,63
Musynx,78
INK,68
Flashback,77
Splatoon 2: Octo Expansion,82
Paladins: Champions of the Realm,74
Fortnite,83
One Strike,61
Iro Hero,57
BlazBlue: Cross Tag Battle,79
Shaq Fu: A Legend Reborn,49
Just Shapes & Beats,83
ICEY,74
Yoku's Island Express,82
Shift Quantum,78
Die for Valhalla!,70
Ikaruga,88
ATOMINE,58
Jumping Joe & Friends,54
N++: Ultimate Edition,80
Runner3,73
Hyrule Warriors: Definitive Edition,78
