name,rank
My Hero One's Justice,67
Just Dance 2019,75
SoulCalibur VI,84
Warriors Orochi 4,73
Call of Duty: Black Ops 4,88
"Guns, Gore & Cannoli 2",79
The Missing: JJ Macfield and the Island of Memories,83
My Memory of Us,62
Mega Man 11,77
RAZED,67
ADIOS Amigos,73
Time Carnage,44
Destiny 2: Forsaken,86
PlayerUnknown's Battlegrounds,86
Planet Alpha,72
Shadows: Awakening,69
Naruto to Boruto: Shinobi Striker,60
Strange Brigade,75
Shikhondo: Soul Eater,66
Bad North,63
Brawlout,65
Tyler: Model 005,35
Airheart: Tales of Broken Wings,67
Megaton Rainfall,64
Flipping Death,80
Dead Cells,91
Overcooked! 2,83
Defenders of Ekron: Definitive Edition,59
Jump Gunners,72
Doughlings: Arcade,75
Gene Rain,32
Candle: The Power of the Flame,76
Nidhogg 2,84
Mothergunship,76
Tempest 4000,75
Sonic Mania Plus,89
The Path of Motus,57
Earthfall,56
20XX,79
Warhammer: Vermintide 2,83
Defiance 2050,56
Red Faction: Guerrilla Re-Mars-tered,73
Omega Strike,80
Super Bomberman R,63
Prey: Mooncrash,82
Unravel Two,81
Riddled Corpses EX,77
Shaq Fu: A Legend Reborn,54
Earth Atlantis,69
FOX n FORESTS,71
ZAMB! Redux,52
Yoku's Island Express,83
oOo: Ascension,70
I Hate Running Backwards,65
Hyper Sentinel,73
Raging Justice,69
Death Road to Canada,77
Destiny 2: Warmind,61
Bounce Rescue!,36
Battlezone: Gold Edition,75
Atomic Heist,55
Pinball FX3 - Star Wars: The Last Jedi,79
Robocraft Infinity,55
The Adventure Pals,80
Far Cry 5,82
Octahedron,76
Attack on Titan 2,74
Tesla vs Lovecraft,75
Q.U.B.E. 2,78
Way of the Passive Fist,68
Scribblenauts Showdown,66
Pit People,79
Turok Remastered,74
Turok 2: Seeds of Evil Remaster,78
RiftStar Raiders,63
Switch: Or Die Trying,68
Immortal Redneck,78
de Blob 2,76
Sword Art Online: Fatal Bullet,72
Past Cure,34
Rad Rogers,67
Xenon Valkyrie+,56
Pinball FX3: Jurassic World Pinball,81
Fe,70
Dynasty Warriors 9,56
Bleed 2,78
Overdriven Reloaded: Special Edition,76
Samsara,63
Mercenary Kings: Reloaded Edition,75
Wulverblade,77
Celeste,94
Dragon Ball FighterZ,86
OK K.O.! Let's Play Heroes,57
Full Metal Furies,74
Albert & Otto: The Adventure Begins,63
Future War:Reborn,41
Fearful Symmetry & The Cursed Prince,71
Hello Neighbor,42
A Hat in Time,74
Oh My Godheads,62
Destiny 2: Curse of Osiris,57
Sky Force Reloaded,86
Star Wars Battlefront II,66
Lego Marvel Super Heroes 2,74
De Blob,72
Wuppo,75
Super Lucky's Tale,64
Assault Android Cactus,84
Marvel's Guardians of the Galaxy - Episode 5: Don't Stop Believin',69
Call of Duty: WWII,80
Wolfenstein II: The New Colossus,88
The Mummy Demastered,73
Rogue Trooper Redux,61
Deadbeat Heroes,61
Marvel's Guardians of the Galaxy - Episode 4: Who Needs You,73
JYDGE,76
N++,88
Let Them Come,70
Cuphead,86
Pinball FX3,85
Ruiner,77
Pinball FX3: Universal Classics Pinball,90
SEUM: Speedrunners from Hell,77
Caveman Warriors,69
Super Hydorah,82
Marvel vs. Capcom: Infinite,77
Time Recoil,66
Jettomero: Hero of the Universe,56
Planet of the Eyes,64
Destiny 2,87
Dead Alliance,43
Killing Floor 2,79
Bleed,73
The Escapists 2,77
Marvel's Guardians of the Galaxy - Episode 3: More Than A Feeling,70
Thumper,86
Circuit Breakers,62
Sonic Mania,83
Sine Mora EX,80
Mr. Shifty,77
Slime Rancher,80
